longitude,latitude,nearest_national_road,nearest_regional_road,nearest_provincial_road
-6.240455679,32.57031068,1475.750649,2830.21663,488.7716238
-8.106784987,33.14276634,19366.29305,4.329533983,5149.020241
-7.339936614,33.50718791,14503.57149,7586.296393,205.4842303
-5.290969328,35.24524217,3137.746025,5842.348127,303.20764
-5.907753961,34.04177887,17586.20347,4400.709071,1202.02021
-8.1358835,31.35504209,30472.38718,15761.62926,252.5602284
-7.926502888,32.725495,13354.53957,9.715311252,5666.493057
-8.063450299,32.93599507,30485.89608,5994.123679,106.6524949
-6.829559436,32.99616456,13219.7994,6139.685639,3482.171584
-6.464064859,32.10688518,18545.70422,43.42360132,6534.402866
-6.509500117,32.10895869,17228.79522,255.022843,2743.264166
-2.811657399,34.73284005,12714.70908,359.151272,1782.741265
-5.408276877,35.44589228,1119.856912,26065.08965,1798.876128
-9.187815891,32.32419783,20363.54844,232.9689088,622.1699863
-2.937791936,34.6630138,4700.945649,13950.75932,23.30324036
-5.492899559,35.29897967,12236.00139,20299.59194,857.3595027
-7.261119679,31.64543495,23357.87859,9139.209345,14.93809334
-4.460688371,31.99385601,2818.11974,28641.33841,37189.38892
-4.749205928,34.16162509,5173.767614,10231.109,6192.495175
-6.749806051,33.93798592,7369.66084,6540.403218,121.3496116
-5.732615691,35.64086254,3944.215108,9467.401134,1233.047826
-5.839271213,34.94162683,6579.519613,8506.200069,1560.467752
-7.638111318,32.47569874,20213.21706,29936.53261,3443.051453
-3.818961815,35.08582821,703.8008404,5079.080175,6235.756029
-6.088703386,35.15477854,4929.434445,10318.9741,155.2067301
-7.257572818,31.66537325,25403.02378,7524.296543,106.489399
-7.078143399,31.84592462,32780.19582,4792.297953,950.7068214
-5.930883505,33.46071743,40988.53442,216.4792031,1806.844341
-6.606380991,33.50838534,48415.90769,226.3176644,5714.695164
-1.734250529,33.97787129,25678.54828,5692.203947,20952.47688
-2.15809695,34.03891278,10274.88345,704.6136823,11360.09252
-7.984514566,33.12370294,25173.43719,946.4509124,3187.926237
-7.624905493,31.59519986,5342.578635,4396.195565,989.5187644
-8.206463771,31.90764594,1635.419969,5080.732233,1013.170646
-6.823280045,31.8143664,40922.33505,8163.076729,9.69960569
-6.569412947,32.77864023,21415.72572,796.8324307,3096.934791
-8.245402742,31.46964662,17601.69884,5582.594798,3397.000388
-3.400238409,34.82133865,16468.80666,675.2698163,18393.35926
-6.393510577,32.65752824,14493.93359,6399.469055,6559.097979
-5.091620822,33.51910036,1554.819961,140.3515461,2186.163085
-4.112457862,32.70885809,22040.73762,4896.09855,5995.185085
-4.879029731,31.46763781,13591.53748,8642.05519,14959.71896
-5.092018301,31.15476038,863.2324957,8463.366045,13445.88584
-4.097055737,32.31044856,27982.29103,1832.066111,3789.206989
-2.567911525,32.73162821,46496.08184,225.2673987,263.1075366
-2.913003267,33.60470105,3830.287165,15642.37097,35323.42246
-8.838741919,31.46386032,4162.406806,9852.853748,9741.631591
-9.623792668,31.24636507,8686.538128,4387.969809,2325.856207
-2.863940021,34.29051603,2031.244754,33676.15,10207.61883
-5.774950515,33.10559692,15620.54463,456.5155656,17764.26307
-6.967669496,33.73360076,14242.12869,2760.950101,18.53560924
-6.823499184,33.82125647,14159.27596,828.7752388,1029.126491
-6.385314442,32.80896233,27436.10228,3076.94086,511.2101827
-5.896456567,35.75203372,2871.746672,28623.5544,3153.441906
-6.548111589,32.98891372,35271.65913,281.5158421,1507.892702
-5.08193361,32.91184233,3405.168543,10465.164,4175.837161
-4.678269993,33.93079341,5699.004652,10289.56637,17.29338438
-3.23763643,34.11029526,724.5137056,47385.82012,3670.728391
-7.119347055,33.08927358,6167.037474,10560.87791,1507.977244
-5.79721199,35.66898406,6988.526897,15762.61553,827.3013213
-5.826045101,35.69471571,5373.86593,19620.84542,205.2342588
-5.383520046,35.68423685,4982.40937,25775.14673,10888.28324
-6.412845438,34.48827134,2786.012557,21410.27301,2.55275676
-4.95545401,34.0190989,3734.62655,2406.118167,792.073057
-5.08776311,33.51167081,2361.542686,429.3176208,2163.116507
-5.019725901,34.45917618,28344.71768,2015.123995,5455.398476
-4.887847987,34.46451864,16309.60865,3493.26605,3921.628077
-3.511428282,31.91129111,5872.950375,27092.34001,31935.36098
-4.317233296,34.93206283,925.6086732,23102.96849,1720.658552
-4.970819136,33.96735089,2476.191333,2101.188084,3171.24737
-4.669511178,34.56477308,3023.707846,5941.433474,1795.545835
-4.887139848,33.80114951,8960.483392,5153.653034,8217.25426
-5.836236441,35.53132868,14423.72182,5980.73979,268.9808953
-4.968662912,33.65083752,6385.059305,9495.486708,551.6308088
-2.876279345,35.0173984,1462.930649,17814.72297,1874.057457
-5.200080543,34.59776463,29180.69112,5444.77959,663.297302
