nom_barrag,nom_oued,capacite,hauteur,annee_mise,longitude,latitude
Kasbat Tadla,Oum Er Rbia,0.10000000149,12.0,1931.0,-6.240455678586557,32.57031067739598
Sidi Said Maachou,Oum Er Rbia,2.0,29.0,1929.0,-8.106784987237177,33.14276634219311
Mellah,Mellah,8.80000019073,33.0,1931.0,-7.33993661378355,33.50718790759607
Ali Thelat,Lao,30.0,36.0,1935.0,-5.2909693282717285,35.24524216529385
El Kansra,Beht,266.0,68.0,1935.0,-5.907753960776517,34.04177887129805
Lalla Takerkoust,N'fis,69.0,71.0,1935.0,-8.135883499923409,31.355042089920683
Imfout,Oum Er Rbia,27.0,50.0,1944.0,-7.926502887897812,32.72549499529793
Daourat,Oum Er Rbia,9.5,40.0,1950.0,-8.063450299191743,32.93599506991683
Zemrane,Zemrane,0.600000023842,20.0,1950.0,-6.829559435719204,32.99616455674907
Bin El Oiudane,El  Abid,1384.0,133.0,1953.0,-6.464064858606207,32.10688518420415
Ait Ourda,El  Abid,4.0,43.0,1953.0,-6.509500117436175,32.10895868809325
Mechraa Hammadi,Moulouya,12.0,57.0,1955.0,-2.811657398769739,34.732840049428994
Nakhla,Nakhla,5.69999980927,46.0,1961.0,-5.408276877076048,35.445892277606724
Safi,Asmine ou Sahir,2.0,18.0,1965.0,-9.187815890890363,32.32419782656871
Mohammed V,Moulouya,410.0,64.0,1967.0,-2.937791936448548,34.663013799847135
Ajras,Ajras,3.0,18.0,1969.0,-5.492899558967338,35.29897967297382
Moulay Youssef,Tessaout,175.0,100.0,1969.0,-7.2611196789299015,31.645434949363672
Hassan Addakhil,Ziz,347.0,85.0,1971.0,-4.460688370571687,31.993856011645736
Idriss 1er,Inaouène,1186.0,72.0,1973.0,-4.749205927711159,34.16162509292388
Sidi   Med.  Ben  Abdellah,Bouregreg,486.0,99.0,1974.0,-6.749806051208053,33.93798591691677
Ibn  Batouta,M'harhar,38.5,30.0,1977.0,-5.732615691261003,35.640862538975114
Oued  El  Makhazine,Loukkos,773.0,67.0,1979.0,-5.839271212895994,34.94162683281228
Al  Massira,Oum  Er Rbia,2760.0,82.0,1979.0,-7.638111317682956,32.475698738106544
Med. Ben Abdelkrim  Khattabi,Neckor,33.5999984741,40.0,1981.0,-3.8189618154352725,35.08582820720632
Garde  du   Loukkos,Loukkos,4.0,9.0,1981.0,-6.088703385852341,35.15477853510151
Timi  Noutione,Tessaout,5.5,45.0,1981.0,-7.257572818430674,31.665373245578962
Sidi  Driss,Lakhdar,7.0,42.0,1984.0,-7.078143398698728,31.845924615428935
Ait  Lamrabtya,Kanaza,0.20000000298,19.0,1985.0,-5.930883504869711,33.460717431064836
Arid,Arid,0.699999988079,20.0,1985.0,-6.606380991389414,33.50838534141053
Msakhskha,Msakhskha,2.70000004768,20.0,1985.0,-1.7342505291384214,33.97787128583144
SIDI ALI,,0.0,10.0,1985.0,-2.1580969499140106,34.03891278319854
Kwacem  Aval,Chguigua,3.0,12.0,1985.0,-7.984514565694495,33.123702936141854
Imi  Larbaa,Tighizrit,0.800000011921,16.0,1985.0,-7.624905492893959,31.595199855888776
N'ZALET AZRI,,0.0,19.0,1985.0,-8.206463770786172,31.907645940907727
Hassan  1,Lakhdar,262.5,145.0,1986.0,-6.823280045437513,31.814366400289305
Bni Smir,Oued Zem,0.899999976158,16.0,1986.0,-6.569412946749878,32.77864023376003
Agafay,Arissa,0.5,28.0,1986.0,-8.245402741742964,31.46964662379288
Tlet  Boubker,Irhane,2.79999995232,30.0,1986.0,-3.400238408775408,34.821338653756136
Si  El  Miari,Takhzrit,1.10000002384,21.0,1986.0,-6.393510577251163,32.65752824063606
Tizguit Aval,Tizguite,0.10000000149,18.0,1986.0,-5.091620821843207,33.51910036339115
Boukerdane,Boutaaricht,0.40000000596,22.0,1986.0,-4.1124578620405146,32.70885808962936
Akkrouz,N'oukrouz,0.600000023842,24.0,1986.0,-4.87902973083726,31.467637808138598
Achbarou,Gaiz,1.0,20.0,1986.0,-5.092018300603854,31.15476038038741
Boutaaricht,Boutaaricht,0.699999988079,18.0,1986.0,-4.097055737232324,32.310448556755716
Hammou   Ourzag,Ham.   Ourzag,1.60000002384,14.0,1986.0,-2.5679115248967155,32.731628206177
Kheng   El  H'da,Marbouha,3.79999995232,15.0,1986.0,-2.913003267286683,33.60470104901436
Azib Douirani,Douirani,0.600000023842,15.0,1987.0,-8.838741919004123,31.463860320997174
Imin  Lhad,Zeddir,0.40000000596,23.0,1987.0,-9.623792667797147,31.246365073089866
Batmat  Rma,Ain Hammou,0.800000011921,20.0,1987.0,-2.863940021014969,34.29051603198951
Ain Tourtoute,Behaligarane,0.899999976158,21.0,1987.0,-5.77495051485414,33.10559692136104
Ruidat  Amont,Rouidat,2.90000009537,24.0,1987.0,-6.967669495950304,33.733600759167985
Ain Koreima,Akrech,1.29999995232,26.0,1987.0,-6.8234991841397905,33.82125646761205
Mouilah,Mouilah,0.5,16.0,1987.0,-6.385314442107642,32.808962331646455
Boukhalef  1,Msaber,1.10000002384,20.0,1989.0,-5.8964565666170765,35.75203372207881
Touiltest,Touiltest,1.0,17.0,1989.0,-6.548111588578762,32.98891372239053
Itzar,Tifitoucht,0.699999988079,30.0,1989.0,-5.081933609848079,32.91184233295757
Allal   Al  Fassi,Sebou,81.5,61.0,1990.0,-4.678269992965624,33.930793408089464
Ras  Bel  Firane,Bel  Firane,0.300000011921,17.0,1990.0,-3.237636429577378,34.11029526101777
Oued  Aricha,Aricha,1.79999995232,30.0,1990.0,-7.119347055022387,33.08927358231011
Saboun,Saboun,1.10000002384,15.0,1991.0,-5.797211990141022,35.66898405876758
Sghir,Sghir,2.29999995232,15.0,1991.0,-5.826045101200293,35.69471570666462
Smir,Smir,43.0,45.0,1991.0,-5.3835200457133965,35.68423685474726
Garde  de Sebou,Sebou,40.0,18.0,1991.0,-6.4128454382661735,34.488271336353264
Blad  El  Gaada,Boufekrane,2.90000009537,30.0,1991.0,-4.955454010394022,34.01909889559772
Tizguit  Amont,Tizguite,0.300000011921,15.0,1991.0,-5.087763109779529,33.511670813057826
Jorf  El  Ghorab,Jorf  El  Ghorab,0.899999976158,29.0,1992.0,-5.019725901329082,34.45917617903768
Essaf,Essaf,1.0,29.0,1992.0,-4.887847987294549,34.464518636725984
Douiss,Douiss,0.899999976158,21.0,1992.0,-3.511428281589644,31.911291107199077
Joumouaa,Joumouaa,6.5,57.0,1992.0,-4.317233295879703,34.932062830635395
Mahraz,El  Mahraz,0.600000023842,17.0,1992.0,-4.970819136193995,33.967350886134625
Sahla,Sahla,62.0,55.0,1994.0,-4.669511178098161,34.564773081712644
Aggay,Aggay,1.20000004768,40.0,1994.0,-4.887139847625689,33.80114950714421
Neuf   Avril  1947,Hachef,300.0,52.0,1995.0,-5.836236440758967,35.53132868317243
Injil,Taghoucht,12.0,36.0,1995.0,-4.968662911763771,33.650837521834426
Arabat,Arabat,1.70000004768,17.0,1995.0,-2.8762793454152984,35.017398402414635
Al  Wahda,Ouergha,3730.0,88.0,1996.0,-5.200080542682712,34.597764630033794
Sidi  Chahed,Mikkès,170.0,51.0,1996.0,-5.3199983773230315,34.105068447151375
Gharbia,Ouergha,0.699999988079,22.0,1997.0,-4.823694138673375,34.46050649218101
Ben  Yakhlef,Ben  Yakhlef,0.300000011921,18.0,1997.0,-2.28311039273018,34.89881439726678
MENZEL,El Manzel,0.0,18.0,1998.0,-2.273556784018126,34.90034705067609
Barrage sur Oued Za (Ex Hassan II),Oued Za,275.0,83.0,1998.0,-2.639546322804392,34.20660255366517
Bouhouda,Sra,55.5,55.0,1998.0,-4.573472015620836,34.610233749088415
Bab  Louta,Laoutar,37.0,54.0,1999.0,-4.333518146644907,34.015133613825455
Asfalou,Asfalou,317.0,112.0,1999.0,-4.190384462672569,34.632979663081244
Bouknadel,Serou,1.0,19.0,1998.0,-6.51261501916764,33.29887980455947
Ahmed  Al  Hansali,Oum Er Rbia,740.0,101.0,2001.0,-5.888613661790885,32.693030239254256
HAD LAGHOUALEM,Bridila,0.0,19.0,2002.0,-6.6885961980559605,33.32601734192701
Ouled  Abbass,Ouled  Abbass,0.899999976158,15.0,2001.0,-8.450532807942523,31.965154073002346
Ait  Messaoud,Oum Er Rbia,13.1999998093,34.0,2003.0,-6.1862453586361985,32.622688323807374
BOUBAGRA,,0.0,21.0,2002.0,-6.26163732800012,32.78381654799558
DRAA LAGRAGRA,Jmamla,0.0,24.0,2003.0,-8.611080442408308,31.821715159127393
BAAJ,,0.0,16.5,2003.0,-3.315294809207898,35.10437010899357
SEHB EL  KHYAT,,0.0,17.0,2003.0,-1.9878117342239536,32.74064658607126
ROKNET ENNAM,,0.0,18.0,2003.0,-1.6946797089012762,32.45392744279741
OUED ENNAMOUS,,0.0,18.0,2003.0,-2.242056806276366,33.34943267707654
Hassan II (Ex Sidi Said),Moulouya,400.0,124.0,2003.0,-4.767857937993199,32.79207079643038
MOULAY HASSAN BELMAHDI,Raouz,0.0,49.0,2005.0,-5.503271403252483,35.69990293777061
S.M.B SLIMANE JAZOULI,,0.0,60.0,2005.0,-9.6418569648269,31.0946805370773
TAMASNA,Zamrine,0.0,66.0,2005.0,-7.099798250688536,33.205242501040686
HASSAR,,0.0,15.0,2005.0,-7.43466856580153,33.574445863386075
RMEL,Rmel,0.0,65.0,0.0,-5.484677853400058,35.87556547067003
WIRGANE,Wirgane,0.0,70.0,0.0,-8.088312525702293,31.18988388763158
AL HIMER,,0.0,39.0,0.0,-7.3456039713460655,33.10548461762124
KOUDIAT EL GARNE,Tamedroust,0.0,55.0,0.0,-7.522478927959981,33.02154911130253
MAZER,Mazer,0.0,39.0,0.0,-7.464007703792333,33.106621162836674
TASKOURT,Al Mal,0.0,75.0,0.0,-8.4771159573354,31.18037562543498
SEHB EL MERGA,Sehb El Merga,0.0,40.0,0.0,-7.111661048618259,32.29896404155748
SIDI YAHIA,Khellata,0.0,30.0,0.0,-6.910770853292035,33.76861160743983
EL HANDAK,El Handak,0.0,27.0,0.0,-6.3466983727315105,32.305015383553375
SFEISSIF,Safsaf,0.0,28.0,0.0,-1.3456563229807443,32.33617518014063
TATIOUINE,Tatiouine,0.0,18.0,0.0,-4.767840386824162,32.58543201227762
TAKHZIRT,Takhzirt,0.0,22.0,0.0,-6.316497930634853,30.809276681973586
CHBIKA,Chbika,0.0,23.0,0.0,-6.689817598802903,33.15736048190087
Bouhouta,Bouhouta,0.899999976158,19.0,2001.0,-8.816785107046881,32.00248871997864
Mansour Eddahbi,Draa,529.0,70.0,1972.0,-6.759905425195029,30.912672861763387
Youssef Ben Tachfine,Massa,303.0,85.0,1972.0,-9.494654353115664,29.845994946409853
Abdelmoumen,Issen,216.0,94.0,1981.0,-9.199414306125162,30.674848958812614
Sfa,Chtouka Ait Baha,0.600000023842,16.0,1985.0,-9.1715390198097,30.190263059992507
Dkhila,Issen,0.699999988079,32.0,1986.0,-9.285405879377663,30.569466047120617
Assif  Taguenza,Taguenza,0.40000000596,24.0,1986.0,-9.393639102362386,30.482661868950224
Akka  N'oussikis,N'oussikiss,1.0,42.0,1986.0,-5.907821420721802,31.697737422344346
Aoulouz,Souss,110.0,79.0,1991.0,-8.138256975378965,30.69325765661569
Imaouene,Imaouene,0.20000000298,23.0,1992.0,-9.713085053332406,29.223300913706446
Agherghis,Assif Neffella,0.300000011921,24.0,1992.0,-9.727958887592365,29.229087485399358
Imin  El   Kheng,Berhil,12.0,39.0,1993.0,-8.532194336199437,30.667295490894453
Mokhtar  Soussi,Choukoukane,50.0,60.0,2001.0,-7.980255310833741,30.734700918412962
Moulay   Abdellah,Tamri,110.0,70.0,2002.0,-9.68562704525175,30.76197889570967
AHL SOUSS,,0.0,49.0,2004.0,-9.128306499245411,30.053815482898354
TOUIZGUI RAMZ,,0.0,18.0,0.0,-9.217380355818532,28.414078958577242
SIDI EL MAHJOUB,Ifrane,0.0,22.0,0.0,-9.451942953704188,29.45495424344374
Taghdout,Amra,3.0,26.0,1956.0,-7.299080152426938,30.62020959389793
Saquia  Al  Hamra,Saq.  Al  Hamra,110.0,16.0,1995.0,-12.054887640951732,27.637489042385482
OUIN KARA,,0.0,16.0,2005.0,-10.985235441862017,28.310681864176843
KHENG MESSAOUED,,0.0,24.0,2005.0,-11.086365130446154,28.189957176682594
Aman  Seyernine,Dfali,0.300000011921,16.0,1987.0,-5.426422434147867,33.60133655214037
