nom_barrag,name,population,dist_to_ville
Kasbat Tadla,Al Kamoun ⵍⴽⴰⵎⵓⵏ الكامون,0,3831.555006210542
Sidi Said Maachou,Ben Maachou ⴱⵏ ⵎⵄⴰⵛⵓ ابن معاشه,0,1180.434531022535
Mellah,Ouled Ziyane ⵡⵍⴰⴷ ⵣⵢⵢⴰⵏ أولاد زيان,0,6397.546989776009
Ali Thelat,Cherouta,0,4455.98730221636
El Kansra,El-Kansera du Beht ⵇⴰⵏⵚⵕⴰ القنصرة,0,1803.1879139495165
Lalla Takerkoust,Lalla Takarkoust ⵍⴰⵍⵍⴰ ⵜⴰⴽⵔⴽⵓⵙⵜ للا تكركوست,0,574.9709304829994
Imfout,Sidi Gahnem ⵙⵉⴷⵉ ⵖⴰⵏⵎ سيدي غانم,0,11377.930439458014
Daourat,Oulad Sidi Ali Ben Youssef ⵡⵍⴰⴷ ⵙⵉⴷⵉ ⵄⵍⵉ ⴱⵏⵢⵓⵙⴼ أولاد سيد,0,2978.114171691279
Zemrane,Bni Ykhlef بني يخلف,0,4940.522974411586
Bin El Oiudane,Bin El Ouidane ⴱⵉⵏ ⵍⵡⵉⴷⴰⵏ بين الويدان,0,1488.2515004487614
Ait Ourda,Ait Ouaarda ⴰⵢⵜ ⵡⴰⵡⵔⴷⴰ آيت واوردا,0,3053.834044715967
Mechraa Hammadi,Mechraa Hammadi ⵎⵛⵕⵄ ⵃⵎⵎⴰⴷⵉ مشرا حمادي,0,1155.9860949264519
Nakhla,Zinat ⵣⵉⵏⴰⵜ زينة,0,2830.7732390458386
Safi,Takabrout ⵜⴰⴽⴰⴱⵔⵓⵜ,0,2091.090819589099
Mohammed V,iherchiwene احيرشيون,0,13529.564473183069
Ajras,Tazroute تازروت,0,6216.141966175519
Moulay Youssef,Inichel,0,1269.4472370408228
Hassan Addakhil,El Khank ⵍⵅⵏⴽ الخنك,0,3147.998995976438
Idriss 1er,Douar El Areïra,0,2774.7905384607157
Sidi   Med.  Ben  Abdellah,Oum Azza ⵓⵎⴰⵣⵣⴰ أم عزة,0,7177.370819819646
Ibn  Batouta,Azzinate ⵣⵉⵏⴰⵜ الزينات,0,1230.0349962914686
Oued  El  Makhazine,Ksar Bjir قصر بجير,0,5232.215865843618
Al  Massira,,0,5426.811015226553
