nom_barrag,nom,Populati_1
Kasbat Tadla,Commune de Semguet,8167
Sidi Said Maachou,Commune de Ben Maachou,8338
Mellah,Commune de Fdalate,12700
Ali Thelat,Commune d'Al Oued,10875
El Kansra,Commune d'El Ganzra,13792
Lalla Takerkoust,Commune de Lalla Takarkoust,8419
Imfout,,
Daourat,Commune d'Oulad Sidi Ali Ben Youssef,9641
Zemrane,Commune de Bni Ykhlef,8928
Bin El Oiudane,Commune de Bin El Ouidane,4605
Ait Ourda,Commune de Bin El Ouidane,4605
Mechraa Hammadi,Commune de Hassi-Berkane,7465
Nakhla,Commune de Zinat,8214
Safi,Commune de Hrara,30025
Mohammed V,Commune de Mestegmer,5295
Ajras,Commune de Tazroute,5449
Moulay Youssef,Commune d'Anzou,16554
Hassan Addakhil,Commune de Lkheng,18381
Idriss 1er,Commune d'Oued Jemaa,7825
Sidi   Med.  Ben  Abdellah,,
Ibn  Batouta,,
Oued  El  Makhazine,Commune d'Oued El Makhazine,6264
Al  Massira,Commune d'Ain Blal,3992
Med. Ben Abdelkrim  Khattabi,Commune de Bni Bouayach,20013
Garde  du   Loukkos,Commune de Sahel,18258
Timi  Noutione,Commune d'Anzou,16554
Sidi  Driss,,
Ait  Lamrabtya,Commune de Bouqachmir,2877
Arid,Commune de Marchouch,13017
Msakhskha,Commune d'Ouled Sidi Abdelhakem,1276
SIDI ALI,Commune de Bni Mathar,10887
Kwacem  Aval,Commune d'Oulad Abbou,10894
Imi  Larbaa,Commune de Tamaguert,10022
N'ZALET AZRI,Commune d'Ouled Dlim,14468
Hassan  1,Commune d'Ouaoula,26410
Bni Smir,Commune de Bni Smir,6725
Agafay,Commune d'Agafay,17771
Tlet  Boubker,,
Si  El  Miari,Commune de Guettaya,13153
Tizguit Aval,Commune d'Ifrane,13964
Boukerdane,Commune de Ksabi-Moulouya,10471
Akkrouz,,
Achbarou,Commune d'Alnif,20978
Boutaaricht,Commune de Gourrama,15952
Hammou   Ourzag,Commune de Bni Guil,8261
Kheng   El  H'da,Commune d'Ouled M'hamed,2316
Azib Douirani,Commune de Saidate,6354
Imin  Lhad,Commune de Tidzi,3770
Batmat  Rma,Commune de Gteter,8222
Ain Tourtoute,Commune d'Aguelmous,36560
Ruidat  Amont,Commune de Sidi Yahya Zaer,116649
Ain Koreima,Commune d'El Menzeh,7168
Mouilah,Commune de Rouached,3353
Boukhalef  1,,
Touiltest,Commune d'Oulad Fennane,6912
Itzar,Commune d'Itzer,10513
Allal   Al  Fassi,Commune de Bir Tam-Tam,8954
Ras  Bel  Firane,Commune de Houara Oulad Raho,39947
Oued  Aricha,,
Saboun,,
Sghir,,
Smir,,
Garde  de Sebou,Commune de Ben Mansour,53545
Blad  El  Gaada,Commune d'Ain Bida,11109
Tizguit  Amont,Commune d'Ifrane,13964
Jorf  El  Ghorab,Commune de Jbabra,15904
Essaf,Commune d'Ourtzarh,13256
Douiss,Commune d'Oued Naam,5708
Joumouaa,Commune de Targuist,14638
Mahraz,,
Sahla,Commune de Taounate,39114
Aggay,Commune de Kandar Sidi Khiar,10417
Neuf   Avril  1947,,
Injil,,
Arabat,Commune d'Oulad Settout,26052
Al  Wahda,,
Sidi  Chahed,Commune de Mikkes,6145
Gharbia,Commune de Bouarouss,16329
Ben  Yakhlef,Commune de Fezouane,5783
MENZEL,Commune de Fezouane,5783
Barrage sur Oued Za (Ex Hassan II),Commune d'Ahl Oued Za,11024
Bouhouda,Commune de Zrizer,7539
Bab  Louta,Commune de Smia,7385
Asfalou,Commune de Tamedit,12252
Bouknadel,Commune d'Ezzhiliga,14788
Ahmed  Al  Hansali,Commune d'Ait Oum El Bekht,7863
HAD LAGHOUALEM,Commune de Laghoualem,12051
Ouled  Abbass,Commune de Ras El Ain,19089
Ait  Messaoud,Commune de Semguet,8167
BOUBAGRA,Commune d'Oulad Gouaouch,2474
DRAA LAGRAGRA,Commune de Sidi Chiker,20291
BAAJ,,
SEHB EL  KHYAT,Commune de Tendrara,14269
ROKNET ENNAM,Commune de Bni Guil,8261
OUED ENNAMOUS,Commune de Maatarka,6554
Hassan II (Ex Sidi Said),Commune de Zaida,14454
MOULAY HASSAN BELMAHDI,Commune d'Anjra,17251
